DEGREE_CLASS_CODE;DEGREE_CLASS;DEGREE_CLASS_NAME;PROGRAMME_TYPE_CODE;
3060;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;MS;
3064;LM-63;Scienze delle pubbliche amministrazioni;MS;
3066;LM-65;Scienze dello spettacolo e produzione multimediale;MS;
3068;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;MS;
3071;LM-70;Scienze e tecnologie alimentari;MS;
3072;LM-71;Scienze e tecnologie della chimica industriale;MS;
3075;LM-74;Scienze e tecnologie geologiche;MS;
3076;LM-75;Scienze e tecnologie per l'ambiente e il territorio;MS;
3078;LM-77;Scienze economico-aziendali;MS;
3081;LM-80;Scienze geografiche;MS;
3082;LM-81;Scienze per la cooperazione allo sviluppo;MS;
3084;LM-83;Scienze statistiche attuariali e finanziarie;MS;
3088;LM-87;Servizio sociale e politiche sociali;MS;
3090;LM-89;Storia dell'arte;MS;
3092;LM-91;Tecniche e metodi per la società dell'informazione;MS;
3094;LM-93;Teorie e metodologie dell'e-learning e della media education;MS;
3109;LM/SNT1;Scienze infermieristiche e ostetriche;MS;
3110;LM/SNT2;Scienze riabilitative delle professioni sanitarie;MS;
3112;LM/SNT4;Scienze delle professioni sanitarie della prevenzione;MS;
2023;L-23;Scienze e tecniche dell'edilizia;MT;
1064;64/S;Specialistiche in scienze dell'economia;LS;
1090;90/S;Specialistiche in statistica demografica e sociale;LS;
1008;8/S;Specialistiche in biotecnologie industriali;LS;
1039;39/S;Specialistiche in interpretariato di conferenza;LS;
1088;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;LS;
3120;LM-85 bis;Scienze della formazione primaria;LM;
3127;LM-96;Classe di abilitazione A033 - Tecnologia;MS;
3123;LM-95;Classe di abilitazione A059 - Matematica e scienze nella scuola secondaria di I grado;MS;
3124;LMR/02;Conservazione e restauro dei beni culturali;LM;
3121;LM-14.;Filologia moderna (abilitazione A043);MS;
3122;LM-37.;Lingue e letterature moderne europee e americane (abilitazione A045);MS;
3125;LM-67.;Scienze e tecniche delle attività motorie preventive e adattate (abilitazione A030);MS;
3126;LM-45.;Musicologia e beni musicali (abilitazione A032);MS;
3128;LM-68.;Scienze e tecniche dello sport (abilitazione A030);MS;
46;SNT/4;Professioni sanitarie della prevenzione;LT;
1108;SNT_SPEC/3;Specialistiche nelle scienze delle professioni sanitarie tecniche;LS;
2009;L-9;Ingegneria industriale;MT;
2011;L-11;Lingue e culture moderne;MT;
2013;L-13;Scienze biologiche;MT;
2014;L-14;Scienze dei servizi giuridici;MT;
2017;L-17;Scienze dell'architettura;MT;
2018;L-18;Scienze dell'economia e della gestione aziendale;MT;
2021;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;MT;
2024;L-24;Scienze e tecniche psicologiche;MT;
2025;L-25;Scienze e tecnologie agrarie e forestali;MT;
2028;L-28;Scienze e tecnologie della navigazione;MT;
2030;L-30;Scienze e tecnologie fisiche;MT;
2032;L-32;Scienze e tecnologie per l'ambiente e la natura;MT;
2034;L-34;Scienze geologiche;MT;
2036;L-36;Scienze politiche e delle relazioni internazionali;MT;
2038;L-38;Scienze zootecniche e tecnologie delle produzioni animali;MT;
2044;L-43;Diagnostica per la conservazione dei beni culturali;MT;
2048;L/SNT3;Professioni sanitarie tecniche;MT;
2049;L/SNT4;Professioni sanitarie della prevenzione;MT;
3004;LM-3;Architettura del paesaggio;MS;
3005;LM-4;Architettura e ingegneria edile-architettura;MS;
3008;LM-7;Biotecnologie agrarie;MS;
3010;LM-9;Biotecnologie mediche, veterinarie e farmaceutiche;MS;
3011;LM-10;Conservazione dei beni architettonici e ambientali;MS;
3012;LM-11;Scienze per la conservazione dei beni culturali;MS;
3016;LM-15;Filologia, letterature e storia dell'antichità;MS;
3020;LM-19;Informazione e sistemi editoriali;MS;
3021;LM-20;Ingegneria aerospaziale e astronautica;MS;
3025;LM-24;Ingegneria dei sistemi edilizi;MS;
3028;LM-27;Ingegneria delle telecomunicazioni;MS;
3030;LM-29;Ingegneria elettronica;MS;
3031;LM-30;Ingegneria energetica e nucleare;MS;
3033;LM-32;Ingegneria informatica;MS;
3035;LM-34;Ingegneria navale;MS;
3036;LM-35;Ingegneria per l'ambiente e il territorio;MS;
3038;LM-37;Lingue e letterature moderne europee e americane;MS;
3039;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;MS;
3043;LM-42;Medicina veterinaria;LM;
3044;LM-43;Metodologie informatiche per le discipline umanistiche;MS;
3047;LM-46;Odontoiatria e protesi dentaria;LM;
3048;LM-47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;MS;
3049;LM-48;Pianificazione territoriale urbanistica e ambientale;MS;
3053;LM-52;Relazioni internazionali;MS;
3056;LM-55;Scienze cognitive;MS;
3057;LM-56;Scienze dell'economia;MS;
3058;LM-57;Scienze dell'educazione degli adulti e della formazione continua;MS;
3134;LM/SC-GIUR;Scienze Giuridiche;MS;
1204;4/S C.U.;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;TU;
1218;18-bis;Scienze della Formazione Primaria - Quadriennale;LV;
1231;31-bis;Scienze giuridiche - Quinquennale;LV;
2057;L-Sc.Mat.;Scienze dei Materiali;MT;
3135;LM-Sc.Mat.;Scienze dei Materiali;MS;
3136;LM-Data;Data Science;MS;
2053;L/GASTR;Scienze, culture e politiche della gastronomia;MT;
3133;LM/GASTR;Scienze economiche  e sociali della gastronomia;MS;
2054;L-P01;Professioni tecniche per l'edilizia e il territorio;MT;
2055;L-P02;Professioni tecniche agrarie, alimentari e forestali;MT;
2056;L-P03;Professioni tecniche industriali e dell'informazione;MT;
7063;A003-PAS;ARTE DEL DISEGNO ANIMATO;PS;
7064;A004-PAS;ARTE DEL TESSUTO DELLA MODA E DEL COSTUME;PS;
7066;A006-PAS;ARTE DELLA CERAMICA;PS;
7067;A007-PAS;ARTE DELLA FOTOGRAFIA E GRAFICA PUBBLICITARIA;PS;
7068;A008-PAS;ARTI DELLA GRAFICA E DELL'INCISIONE;PS;
7069;A009-PAS;ARTE DELLA STAMPA E DEL RESTAURO DEL LIBRO;PS;
7070;A010-PAS;ARTI DEI METALLI E DELL'OREFICERIA;PS;
7071;A011-PAS;ARTE MINERARIA;PS;
7072;A012-PAS;CHIMICA AGRARIA;PS;
7073;A014-PAS;CIRCOLAZIONE AEREA TELECOMUNICAZIONI AERONAUTICHE ED ESERCITAZIONI;PS;
7074;A015-PAS;COSTRUZIONI NAVALI E TEORIA DELLA NAVE;PS;
7075;A018-PAS;DISCIPLINE GEOMETRICHE, ARCHITETTONICHE ARREDAMENTO E SCENOTECNICA;PS;
7076;A021-PAS;DISCIPLINE PITTORICHE;PS;
7077;A022-PAS;DISCIPLINE PLASTICHE;PS;
7078;A023-PAS;DISEGNO E MODELLAZIONE ODONTOTECNICA;PS;
7079;A024-PAS;DISEGNO E STORIA DEL COSTUME;PS;
7080;A025-PAS;DISEGNO E STORIA DELL'ARTE;PS;
7082;A027-PAS;DISEGNO TECNICO ED ARTISTICO;PS;
7083;A028-PAS;EDUCAZIONE ARTISTICA;PS;
7084;A031-PAS;EDUCAZIONE MUSICALE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;PS;
7085;A040-PAS;IGIENE, ANATOMIA, FISIOLOGIA, PATOLOGIA GENERALE E DELL'APPARATO MASTICATORIO;PS;
7087;A044-PAS;LINGUAGGIO PER LA CINEMATOGRAFIA E LA TELEVISIONE;PS;
7089;A053-PAS;METEOROLOGIA AERONAUTICA ED ESERCITAZIONI;PS;
7090;A054-PAS;MINERALOGIA E GEOLOGIA;PS;
7091;A055-PAS;NAVIGAZIONE AEREA ED ESERCITAZIONI;PS;
7092;A056-PAS;NAVIGAZIONE, ARTE NAVALE ED ELEMENTI DI COSTRUZIONI NAVALI;PS;
7093;A062-PAS;TECNICA DELLA REGISTRAZIONE DEL SUONO;PS;
7094;A063-PAS;TECNICA DELLA RIPRESA CINEMATOGRAFICA E TELEVISIVA;PS;
7095;A064-PAS;TECNICA E ORGANIZZAZIONE DELLA PRODUZIONE CINEMATOGRAFICA E TELEVISIVA;PS;
7096;A065-PAS;TECNICA FOTOGRAFICA;PS;
7099;A068-PAS;TECNOLOGIE DELL'ABBIGLIAMENTO;PS;
7100;A069-PAS;TECNOLOGIE  GRAFICHE ED IMPIANTI GRAFICI;PS;
7101;A070-PAS;TECNOLOGIE TESSILI;PS;
7103;A074-PAS;ZOOTECNICA E SCIENZA DELLA PRODUZIONE ANIMALE;PS;
7104;A075-PAS;DATTILOGRAFIA E STENOGRAFIA;PS;
7105;A076-PAS;TRATTAMENTO TESTI, CALCOLO, CONTABILITA' ELETTRONICA ED APPLICAZIONI GESTIONALI;PS;
7106;A445-PAS;LINGUA STRANIERA (SPAGNOLO);PS;
7107;A545-PAS;LINGUA STRANIERA (TEDESCO);PS;
7110;A746-PAS;LINGUA E CIVILTA' STRANIERA (ALBANESE);PS;
7111;A846-PAS;LINGUA E CIVILTA' STRANIERA (SLOVENO);PS;
7112;A946-PAS;LINGUA E CIVILTA' STRANIERA (SERBO-CROATO);PS;
7115;C010-PAS;ADDETTO ALL'UFFICIO TECNICO;PS;
7116;C020-PAS;ATTIVITA' PRATICHE SPECIALI;PS;
7118;C031-PAS;CONVERSAZIONE IN LINGUA STRANIERA (FRANCESE);PS;
7119;C032-PAS;CONVERSAZIONE IN LINGUA STRANIERA (INGLESE);PS;
7120;C033-PAS;CONVERSAZIONE IN LINGUA STRANIERA (SPAGNOLO);PS;
7121;C034-PAS;CONVERSAZIONE IN LINGUA STRANIERA (TEDESCO);PS;
7125;C038-PAS;CONVERSAZIONE IN LINGUA STRANIERA (SERBO CROATO);PS;
7126;C040-PAS;ESERCITAZIONI AERONAUTICHE;PS;
7127;C050-PAS;ESERCITAZIONI AGRARIE;PS;
7129;C070-PAS;ESERCITAZIONI DI ABBIGLIAMENTO E MODA;PS;
7130;C080-PAS;ESERCITAZIONI DI CIRCOLAZIONE AEREA;PS;
7131;C090-PAS;ESERCITAZIONI DI COMUNICAZIONI;PS;
7132;C100-PAS;ESERCITAZIONI DI DISEGNO ARTISTICO DI TESSUTI;PS;
7133;C110-PAS;ESERCITAZIONI DI ECONOMIA DOMESTICA;PS;
7135;C130-PAS;ESERCITAZIONI DI ODONTOTECNICA;PS;
7136;C140-PAS;ESERCITAZIONI DI OFFICINA MECCANICA, AGRICOLA E DI MACCHINE AGRICOLE;PS;
7137;C150-PAS;ESERCITAZIONI DI PORTINERIA E PRATICA DI AGENZIA;PS;
7139;C170-PAS;ESERCITAZIONI DI TEORIA DELLA NAVE E DI COSTRUZIONI NAVALI;PS;
7140;C180-PAS;ESERCITAZIONI NAUTICHE;PS;
7141;C190-PAS;ESERCITAZIONI PRATICHE PER CENTRALINISTI TELEFONICI;PS;
7142;C200-PAS;ESERCITAZIONI PRATICHE DI OTTICA;PS;
7144;C220-PAS;LABORATORIO DI TECNOL.TESSILI E DELL'ABBIGLIAMENTO E REPARTI DI LAVORAZ.TESSILI E ABBIGL;PS;
7145;C230-PAS;LABORATORIO DI AEROTECNICA, COSTRUZIONI E TECNOLOGIE AERONAUTICHE;PS;
7146;C240-PAS;LABORATORIO DI CHIMICA E CHIMICA INDUSTRIALE;PS;
7147;C250-PAS;LABORATORIO DI COSTRUZIONE, VERNICIATURA E RESTAURO DI STRUMENTI AD ARCO;PS;
7148;C260-PAS;LABORATORIO DI ELETTRONICA;PS;
7149;C270-PAS;LABORATORIO DI ELETTROTECNICA;PS;
7150;C280-PAS;LABORATORIO DI FISICA ATOMICA E NUCLEARE E STRUMENTI;PS;
7151;C290-PAS;LABORATORIO DI FISICA E FISICA APPLICATA;PS;
7152;C300-PAS;LABORATORIO DI INFORMATICA GESTIONALE;PS;
7153;C310-PAS;LABORATORIO DI INFORMATICA INDUSTRIALE;PS;
7154;C320-PAS;LABORATORIO MECCANICO-TECNOLOGICO;PS;
7155;C330-PAS;LABORATORIO DI OREFICERIA;PS;
7157;C350-PAS;LABORATORIO DI TECNICA MICROBIOLOGICA;PS;
7158;C360-PAS;LABORATORIO DI TECNOLOGIA CARTARIA ED ESERCITAZIONI DI CARTIERA;PS;
7159;C370-PAS;LABORATORIO E REPARTI DI LAVORAZIONE DEL LEGNO;PS;
7160;C380-PAS;LABORATORIO E REPARTI DI LAVORAZIONE PER LE ARTI GRAFICHE;PS;
7161;C390-PAS;LABORATORIO E REPARTI DI LAVORAZIONE PER L'INDUSTRIA MINERARIA;PS;
7164;C420-PAS;LABORATORIO TECNOLOGICO PER IL MARMO-REPARTI SCULTURA,SMODELLATURA,DECORAZIONE E ORNATO;PS;
7165;C430-PAS;LABORATORIO TECNOLOGICO PER L'EDILIZIA ED ESERCITAZIONI DI TOPOGRAFIA;PS;
7166;C440-PAS;MASSOCHINESITERAPIA;PS;
7167;C450-PAS;METODOLOGIE OPERATIVE NEI SERVIZI SOCIALI;PS;
7168;C460-PAS;REPARTI DI LAVORAZIONE PER IL MONTAGGIO CINEMATOGRAFICO E TELEVISIVO;PS;
7169;C470-PAS;REPARTI DI LAVORAZIONE PER LA REGISTRAZIONE DEL SUONO;PS;
7170;C480-PAS;REPARTI DI LAVORAZIONE PER LA RIPRESA CINEMATOGRAFICA E TELEVISIVA;PS;
7171;C490-PAS;REPARTI DI LAVORAZIONE PER LE ARTI FOTOGRAFICHE;PS;
7172;C500-PAS;TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI CUCINA;PS;
7173;C510-PAS;TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI SALA BAR;PS;
7174;C520-PAS;TECNICA DEI SERVIZI E PRATICA OPERATIVA;PS;
7176;D601-PAS;ARTE DELLA LAVORAZIONE DEI METALLI;PS;
7177;D602-PAS;ARTE DELL'OREFICERIA, DELLA LAVORAZIONE DELLE PIETRE DURE E DELLE GEMME;PS;
7178;D603-PAS;ARTE DEL DISEGNO D'ANIMAZIONE;PS;
7179;D604-PAS;ARTE DELLA RIPRESA E MONTAGGIO PER IL DISEGNO ANIMATO;PS;
7180;D605-PAS;ARTE DELLA TESSITURA E DELLA DECORAZIONE DEI TESSUTI;PS;
7183;D608-PAS;ARTE DELLA DECORAZIONE E COTTURA DEI PRODOTTI CERAMICI;PS;
7184;D609-PAS;ARTE DELLA FORMATURA E FOGGIATURA;PS;
7185;D610-PAS;ARTE DELLA FOTOGRAFIA E DELLA CINEMATOGRAFIA;PS;
7186;D611-PAS;ARTE DELAA XILOGRAFIA, CALCOGRAFIA E LITOGRAFIA;PS;
7187;D612-PAS;ARTE DELLA SERIGRAFIA E DELLA FOTOINCISIONE;PS;
