degree_class_code;degree_class_name_it;degree_class_number;programme_type_code;degree_class_name_en
LS102S;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;102/S;LS;
LS103S;Specialistiche in teorie e metodi del disegno industriale;103/S;LS;
LS104S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;104/S;LS;
LSDSS;Specialistiche nelle scienze della difesa e della sicurezza;DS/S;LS;
LSSNTSPEC1;Specialistiche nelle scienze infermieristiche e ostetriche;SNT_SPEC/1;LS;
LSSNTSPEC2;Specialistiche nelle scienze delle professioni sanitarie della riabilitazione;SNT_SPEC/2;LS;
LSSNTSPEC3;Specialistiche nelle scienze delle professioni sanitarie tecniche;SNT_SPEC/3;LS;
LSSNTSPEC4;Specialistiche nelle scienze delle professioni sanitarie della prevenzione;SNT_SPEC/4;LS;
TU4SCU;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;4/S C.U.;TU;
LV18bis;Scienze della Formazione Primaria - Quadriennale;18-bis;LV;
LV31bis;Scienze giuridiche - Quinquennale;31-bis;LV;
MTL1;Beni culturali;L-1;MT;
MTL2;Biotecnologie;L-2;MT;
MTL3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;L-3;MT;
MTL4;Disegno industriale;L-4;MT;
MTL5;Filosofia;L-5;MT;
MTL6;Geografia;L-6;MT;
MTL7;Ingegneria civile e ambientale;L-7;MT;
MTL8;Ingegneria dell'informazione;L-8;MT;
MTL9;Ingegneria industriale;L-9;MT;
MTL10;Lettere;L-10;MT;
MTL11;Lingue e culture moderne;L-11;MT;
MTL12;Mediazione linguistica;L-12;MT;
MTL13;Scienze biologiche;L-13;MT;
MTL14;Scienze dei servizi giuridici;L-14;MT;
MTL15;Scienze del turismo;L-15;MT;
MTL16;Scienze dell'amministrazione e dell'organizzazione;L-16;MT;
MTL17;Scienze dell'architettura;L-17;MT;
MTL18;Scienze dell'economia e della gestione aziendale;L-18;MT;
MTL19;Scienze dell'educazione e della formazione;L-19;MT;
MTL20;Scienze della comunicazione;L-20;MT;
MTL21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;L-21;MT;
MTL22;Scienze delle attività motorie e sportive;L-22;MT;
MTL23;Scienze e tecniche dell'edilizia;L-23;MT;
MTL24;Scienze e tecniche psicologiche;L-24;MT;
MTL25;Scienze e tecnologie agrarie e forestali;L-25;MT;
MTL26;Scienze e tecnologie alimentari;L-26;MT;
MTL27;Scienze e tecnologie chimiche;L-27;MT;
MTL28;Scienze e tecnologie della navigazione;L-28;MT;
MTL29;Scienze e tecnologie farmaceutiche;L-29;MT;
MTL30;Scienze e tecnologie fisiche;L-30;MT;
MTL31;Scienze e tecnologie informatiche;L-31;MT;
MTL32;Scienze e tecnologie per l'ambiente e la natura;L-32;MT;
MTL33;Scienze economiche;L-33;MT;
MTL34;Scienze geologiche;L-34;MT;
MTL35;Scienze matematiche;L-35;MT;
MTL36;Scienze politiche e delle relazioni internazionali;L-36;MT;
MTL37;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;MT;
MTL38;Scienze zootecniche e tecnologie delle produzioni animali;L-38;MT;
MTL39;Servizio sociale;L-39;MT;
MTL40;Sociologia;L-40;MT;
MTL41;Statistica;L-41;MT;
MTL42;Storia;L-42;MT;
MTL43;Diagnostica per la conservazione dei beni culturali;L-43;MT;
MTLSNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;L/SNT1;MT;
MTLSNT2;Professioni sanitarie della riabilitazione;L/SNT2;MT;
MTLSNT3;Professioni sanitarie tecniche;L/SNT3;MT;
MTLSNT4;Professioni sanitarie della prevenzione;L/SNT4;MT;
MTLSC;Scienze criminologiche e della sicurezza;L/SC;MT;
MTLDS;Scienze della difesa e della sicurezza;L/DS;MT;
MTLGASTR;Scienze, culture e politiche della gastronomia;L/GASTR;MT;
MTLP01;Professioni tecniche per l'edilizia e il territorio;L-P01;MT;
MTLP02;Professioni tecniche agrarie, alimentari e forestali;L-P02;MT;
MTLP03;Professioni tecniche industriali e dell’informazione;L-P03;MT;
MTLScMat;Scienze dei Materiali;L-Sc.Mat.;MT;
LMLMG01;Magistrali in giurisprudenza;LMG/01;LM;
MSLM1;Antropologia culturale ed etnologia;LM-1;MS;
MSLM2;Archeologia;LM-2;MS;
MSLM3;Architettura del paesaggio;LM-3;MS;
MSLM4;Architettura e ingegneria edile-architettura;LM-4;MS;
MSLM5;Archivistica e biblioteconomia;LM-5;MS;
MSLM6;Biologia;LM-6;MS;
MSLM7;Biotecnologie agrarie;LM-7;MS;
MSLM8;Biotecnologie industriali;LM-8;MS;
MSLM9;Biotecnologie mediche, veterinarie e farmaceutiche;LM-9;MS;
MSLM10;Conservazione dei beni architettonici e ambientali;LM-10;MS;
MSLM11;Scienze per la conservazione dei beni culturali;LM-11;MS;
MSLM12;Design;LM-12;MS;
LMLM13;Farmacia e farmacia industriale;LM-13;LM;
MSLM14;Filologia moderna;LM-14;MS;
MSLM15;Filologia, letterature e storia dell'antichità;LM-15;MS;
MSLM16;Finanza;LM-16;MS;
MSLM17;Fisica;LM-17;MS;
MSLM18;Informatica;LM-18;MS;
MSLM19;Informazione e sistemi editoriali;LM-19;MS;
MSLM20;Ingegneria aerospaziale e astronautica;LM-20;MS;
MSLM21;Ingegneria biomedica;LM-21;MS;
MSLM22;Ingegneria chimica;LM-22;MS;
MSLM23;Ingegneria civile;LM-23;MS;
MSLM24;Ingegneria dei sistemi edilizi;LM-24;MS;
MSLM25;Ingegneria dell'automazione;LM-25;MS;
MSLM26;Ingegneria della sicurezza;LM-26;MS;
MSLM27;Ingegneria delle telecomunicazioni;LM-27;MS;
MSLM28;Ingegneria elettrica;LM-28;MS;
MSLM29;Ingegneria elettronica;LM-29;MS;
MSLM30;Ingegneria energetica e nucleare;LM-30;MS;
MSLM31;Ingegneria gestionale;LM-31;MS;
MSLM32;Ingegneria informatica;LM-32;MS;
MSLM33;Ingegneria meccanica;LM-33;MS;
MSLM34;Ingegneria navale;LM-34;MS;
MSLM35;Ingegneria per l'ambiente e il territorio;LM-35;MS;
MSLM36;Lingue e letterature dell'Africa e dell'Asia;LM-36;MS;
MSLM37;Lingue e letterature moderne europee e americane;LM-37;MS;
MSLM38;Lingue moderne per la comunicazione e la cooperazione internazionale;LM-38;MS;
MSLM39;Linguistica;LM-39;MS;
MSLM40;Matematica;LM-40;MS;
LMLM41;Medicina e chirurgia;LM-41;LM;
LMLM42;Medicina veterinaria;LM-42;LM;
MSLM43;Metodologie informatiche per le discipline umanistiche;LM-43;MS;
MSLM44;Modellistica matematico-fisica per l'ingegneria;LM-44;MS;
MSLM45;Musicologia e beni musicali;LM-45;MS;
LMLM46;Odontoiatria e protesi dentaria;LM-46;LM;
MSLM47;Organizzazione e gestione dei servizi per lo sport e le attività motorie;LM-47;MS;
MSLM48;Pianificazione territoriale urbanistica e ambientale;LM-48;MS;
MSLM49;Progettazione e gestione dei sistemi turistici;LM-49;MS;
MSLM50;Programmazione e gestione dei servizi educativi;LM-50;MS;
MSLM51;Psicologia;LM-51;MS;
MSLM52;Relazioni internazionali;LM-52;MS;
MSLM53;Scienza e ingegneria dei materiali;LM-53;MS;
MSLM54;Scienze chimiche;LM-54;MS;
MSLM55;Scienze cognitive;LM-55;MS;
MSLM56;Scienze dell'economia;LM-56;MS;
MSLM57;Scienze dell'educazione degli adulti e della formazione continua;LM-57;MS;
MSLM58;Scienze dell'universo;LM-58;MS;
MSLM59;Scienze della comunicazione pubblica, d'impresa e pubblicità;LM-59;MS;
MSLM60;Scienze della natura;LM-60;MS;
MSLM61;Scienze della nutrizione umana;LM-61;MS;
MSLM62;Scienze della politica;LM-62;MS;
MSLM63;Scienze delle pubbliche amministrazioni;LM-63;MS;
MSLM64;Scienze delle religioni;LM-64;MS;
MSLM65;Scienze dello spettacolo e produzione multimediale;LM-65;MS;
MSLM66;Sicurezza informatica;LM-66;MS;
MSLM67;Scienze e tecniche delle attività motorie preventive e adattate;LM-67;MS;
MSLM68;Scienze e tecniche dello sport;LM-68;MS;
MSLM69;Scienze e tecnologie agrarie;LM-69;MS;
MSLM70;Scienze e tecnologie alimentari;LM-70;MS;
MSLM71;Scienze e tecnologie della chimica industriale;LM-71;MS;
MSLM72;Scienze e tecnologie della navigazione;LM-72;MS;
MSLM73;Scienze e tecnologie forestali ed ambientali;LM-73;MS;
MSLM74;Scienze e tecnologie geologiche;LM-74;MS;
MSLM75;Scienze e tecnologie per l'ambiente e il territorio;LM-75;MS;
MSLM76;Scienze economiche per l'ambiente e la cultura;LM-76;MS;
MSLM77;Scienze economico-aziendali;LM-77;MS;
MSLM78;Scienze filosofiche;LM-78;MS;
MSLM79;Scienze geofisiche;LM-79;MS;
MSLM80;Scienze geografiche;LM-80;MS;
MSLM81;Scienze per la cooperazione allo sviluppo;LM-81;MS;
MSLM82;Scienze statistiche;LM-82;MS;
MSLM83;Scienze statistiche attuariali e finanziarie;LM-83;MS;
MSLM84;Scienze storiche;LM-84;MS;
MSLM85;Scienze pedagogiche;LM-85;MS;
MSLM86;Scienze zootecniche e tecnologie  animali;LM-86;MS;
MSLM87;Servizio sociale e politiche sociali;LM-87;MS;
MSLM88;Sociologia e ricerca sociale;LM-88;MS;
MSLM89;Storia dell'arte;LM-89;MS;
MSLM90;Studi europei;LM-90;MS;
MSLM91;Tecniche e metodi per la società dell'informazione;LM-91;MS;
MSLM92;Teorie della comunicazione;LM-92;MS;
MSLM93;Teorie e metodologie dell'e-learning e della media education;LM-93;MS;
MSLM94;Traduzione specialistica e interpretariato;LM-94;MS;
MSLMSNT1;Scienze infermieristiche e ostetriche;LM/SNT1;MS;
MSLMSNT2;Scienze riabilitative delle professioni sanitarie;LM/SNT2;MS;
MSLMSNT3;Scienze delle professioni sanitarie tecniche;LM/SNT3;MS;
MSLMSNT4;Scienze delle professioni sanitarie della prevenzione;LM/SNT4;MS;
MSLMSC;Scienze criminologiche applicate all'investigazione e alla sicurezza;LM/SC;MS;
MSLMDS;Scienze della difesa e della sicurezza;LM/DS;MS;
LMLM4CU;Architettura e ingegneria edile-architettura (quinquennale);LM-4 C.U.;LM;
LMLM85bis;Scienze della formazione primaria;LM-85 bis;LM;
MSLM95;Classe di abilitazione A059 - Matematica e scienze nella scuola secondaria di I grado;LM-95;MS;
LMLMR02;Conservazione e restauro dei beni culturali;LMR/02;LM;
MSLM96;Classe di abilitazione A033 - Tecnologia;LM-96;MS;
MSLMGASTR;Scienze economiche  e sociali della gastronomia;LM/GASTR;MS;
MSLMSCGIUR;Scienze Giuridiche;LM/SC-GIUR;MS;
MSLMScMat;Scienze dei Materiali;LM-Sc.Mat.;MS;
MSLMData;Data Science;LM-Data;MS;
SDSAS5001;Classe Medicina clinica generale;SAS-5001;SD;
SDSAS5002;Classe Medicina specialistica;SAS-5002;SD;
SDSAS5003;Classe Neuroscienze e scienze cliniche del comportamento;SAS-5003;SD;
SDSAS5004;Classe Medicina clinica dell'età evolutiva;SAS-5004;SD;
SCSAS5005;Classe delle Chirurgie generali;SAS-5005;SC;
SCSAS5006;Classe delle Chirurgie specialistiche;SAS-5006;SC;
SCSAS5007;Classe delle Chirurgie del distretto testa e collo;SAS-5007;SC;
SCSAS5008;Classe delle Chirurgie cardio-toraco-vascolari;SAS-5008;SC;
SSSAS5009;Classe della Medicina diagnostica e di laboratorio;SAS-5009;SS;
SSSAS5010;Classe della diagnostica per immagini e radioterapia;SAS-5010;SS;
SSSAS5011;Classe dei servizi clinici specialistici;SAS-5011;SS;
SSSAS5012;Classe dei servizi clinici biomedici;SAS-5012;SS;
SSSAS5013;Classe delle specializzazioni in odontoiatria;SAS-5013;SS;
SSSAS5014;Classe della sanità pubblica;SAS-5014;SS;
SSSAS5015;Classe della farmaceutica;SAS-5015;SS;
SSSAS5016;Classe della fisica sanitaria;SAS-5016;SS;
SCSAS50056;Classe delle Chirurgie generali;SAS-5005-6;SC;
SCSAS50066;Classe delle Chirurgie specialistiche;SAS-5006-6;SC;
SVSAV5101;Classe della Sanità animale;SAV-5101;SV;
SVSAV5102;Classe dell'igiene della produzione, trasformazione, commercializzazione, conservazione e trasporto degli alimenti di origine animale e loro derivati;SAV-5102;SV;
SVSAV5103;Classe dell'igiene degli allevamenti e delle produzioni zootecniche;SAV-5103;SV;
SBSAB5201;Beni archeologici;SAB-5201;SB;
SBSAB5202;Beni architettonici e del paesaggio;SAB-5202;SB;
SBSAB5203;Beni storici artistici;SAB-5203;SB;
SBSAB5204;Beni archivistici e librari;SAB-5204;SB;
SBSAB5205;Beni demoetnoantropologici;SAB-5205;SB;
SBSAB5206;Beni musicali;SAB-5206;SB;
SBSAB5207;Beni scientifici e tecnologici;SAB-5207;SB;
SBSAB5208;Beni naturali e territoriali;SAB-5208;SB;
SPSAP5301;Area psicologica;SAP-5301;SP;
SPSAP5303;Area psicologica dm 10/3/2010;SAP-5303;SP;
SRSAR5401;Valutazione e Gestione del Rischio Chimico;SAR-5401;SR;
SDSAS5501;Classe della Medicina clinica generale e specialistica;SAS-5501;SD;
SDSAS5503;Classe delle Neuroscienze e scienze cliniche del comportamento;SAS-5503;SD;
SDSAS5504;Classe della Medicina clinica dell'età evolutiva;SAS-5504;SD;
SCSAS5505;Classe delle Chirurgie generali e specialistiche;SAS-5505;SC;
SCSAS5507;Classe delle Chirurgie del distretto testa e collo;SAS-5507;SC;
SCSAS5508;Classe delle Chirurgie cardio-toraco-vascolari;SAS-5508;SC;
SSSAS5509;Classe della Medicina diagnostica e di laboratorio;SAS-5509;SS;
SSSAS5510;Classe della diagnostica per immagini e radioterapia;SAS-5510;SS;
SSSAS5511;Classe dei servizi clinici specialistici;SAS-5511;SS;
SSSAS5512;Classe dei servizi clinici specialistici biomedici;SAS-5512;SS;
SSSAS5513;Classe delle specializzazioni in odontoiatria;SAS-5513;SS;
SSSAS5514;Classe della sanità pubblica;SAS-5514;SS;
SSSAS5515;Classe della farmaceutica;SAS-5515;SS;
SSSAS5516;Classe della fisica sanitaria;SAS-5516;SS;
SDSAS5517;Classe Medicina clinica generale e specialistica (4 anni);SAS-5517;SD;
SCSAS5518;Classe delle Chirurgie del distretto testa e collo (4 anni);SAS-5518;SC;
SSSAS5519;Classe dei servizi clinici specialistici (4 anni);SAS-5519;SS;
SSSAS5520;Classe della sanità pubblica;SAS-5520;SS;
SQSAP5601;Psicologia clinica;SAP-5601;SQ;
SQSAP5602;Psicologia del ciclo di vita;SAP-5602;SQ;
SQSAP5603;Neuropsicologia;SAP-5603;SQ;
SQSAP5604;Psicologia della salute;SAP-5604;SQ;
SQSAP5605;Valutazione psicologica e consulenza (counselling);SAP-5605;SQ;
TFA030;SCIENZE MOTORIE E SPORTIVE;A030;TF;
TFA032;MUSICA;A032;TF;
TFA033;TECNOLOGIA;A033;TF;
TFA043;ITALIANO, STORIA  E GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO;A043;TF;
TFA059;MATEMATICHE E SCIENZE NELLA SCUOLA SECONDARIA DI I GRADO;A059;TF;
TFA245;LINGUA STRANIERA (FRANCESE);A245;TF;
TFA345;LINGUA STRANIERA (INGLESE) ;A345;TF;
TFA080;ITALIANO NELLA SCUOLA MEDIA CON LINGUA DI INSEGNAMENTO SLOVENA;A080;TF;
TFA085;SLOVENO,STORIA ED EDCIVICA E GEOGRAFIA NELLA SCUOLA MEDIA CON LINGUA SLOVENA;A085;TF;
TFA090;CULTURA LADINA;A090;TF;
TFA091;ITALIANO (SECONDA LINGUA) NELLA SCUOLA MEDIA IN LINGUA TEDESCA;A091;TF;
TFA097;TEDESCO (SECONDA LINGUA) NELLA SCUOLA MEDIA IN LINGUA ITALIANA DELLA PROV DI BOLZANO;A097;TF;
TFA098;TEDESCO,STORIA ED ED.CIVICA,GEOGRAFIA SC.MEDIA LING.TEDESCA E CON LINGINS.TEDLOC.LAD;A098;TF;
TFA013;CHIMICA E TECNOLOGIE CHIMICHE;A013;TF;
TFA016;COSTRUZIONI, TECNOLOGIA DELLE COSTRUZIONI E DISEGNO TECNICO;A016;TF;
TFA017;DISCIPLINE ECONOMICO-AZIENDALI;A017;TF;
TFA019;DISCIPLINE GIURIDICHE ED ECONOMICHE;A019;TF;
TFA020;DISCIPLINE MECCANICHE E TECNOLOGIA;A020;TF;
TFA029;EDUCAZIONE FISICA NEGLI ISTITUTI E SCUOLE DI ISTRUZIONE SECONDARIA II GRADO;A029;TF;
TFA034;ELETTRONICA;A034;TF;
TFA035;ELETTROTECNICA ED APPLICAZIONI;A035;TF;
TFA036;FILOSOFIA, PSICOLOGIA E SCIENZE DELL'EDUCAZIONE;A036;TF;
TFA037;FILOSOFIA E STORIA;A037;TF;
TFA038;FISICA;A038;TF;
TFA039;GEOGRAFIA;A039;TF;
TFA042;INFORMATICA;A042;TF;
TFA047;MATEMATICA;A047;TF;
TFA048;MATEMATICA APPLICATA;A048;TF;
TFA049;MATEMATICA E FISICA;A049;TF;
TFA050;MATERIE LETTERARIE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;A050;TF;
TFA051;MATERIE LETTERARIE E LATINO NEI LICEI E NELL'ISTITUTO MAGISTRALE;A051;TF;
TFA052;MATERIE LETTERARIE, LATINO E GRECO NEL LICEO CLASSICO;A052;TF;
TFA057;SCIENZA DEGLI ALIMENTI;A057;TF;
TFA058;SCIENZE E MECCANICA AGRARIA, TECNICHE DI GESTIONE AZIENDALE, FITOPATOLOGIA ED ENTOMOLOGIA AGRARIA;A058;TF;
TFA060;SCIENZE NATURALI, CHIMICA E GEOGRAFIA, MICROBIOLOGIA;A060;TF;
TFA061;STORIA DELL'ARTE;A061;TF;
TFA071;TECNOLOGIA E DISEGNO TECNICO;A071;TF;
TFA072;TOPOGRAFIA GENERALE, COSTRUZIONI RURALI E DISEGNO;A072;TF;
TFA246;LINGUA E CIVILTA' STRANIERA (FRANCESE);A246;TF;
TFA346;LINGUA E CIVILTA' STRANIERA (INGLESE);A346;TF;
TFA446;LINGUA E CIVILTA' STRANIERA (SPAGNOLO);A446;TF;
TFA546;LINGUA E CIVILTA' STRANIERA (TEDESCO);A546;TF;
TFA646;LINGUA E CIVILTA' STRANIERA (RUSSO);A646;TF;
TFA111;LINGUA E CIVILTA' STRANIERA (CINESE);A111;TF;
TFA112;LINGUA E CIVILTA' STRANIERA (ARABO);A112;TF;
TFXXXX;Altra lingua straniera;XXXX;TF;
TFA081;LINGUA E LETTERE ITALIANE NEGLI ISTITUTI DI ISTRSECONDARIA DI II GRADO LINGUA SLOVENA;A081;TF;
TFA082;MATERIE LETTERARIE NEGLI ISTITUTI DI II GRADO DI LINGUA SLOVENA;A082;TF;
