Institute_code;Institute_name_it;Institute_type;;
7294 ;"Conservatorio di Musica ""Francesco Venezze"" Rovigo";Pubblico - Statale;;
7214 ;"Conservatorio di Musica ""G. Martucci"" Salerno";Pubblico - Statale;;
7211 ;"Conservatorio di Musica ""Luigi Canepa"" Sassari";Pubblico - Statale;;
7311 ;"Conservatorio di Musica ""Giuseppe Verdi"" Torino";Pubblico - Statale;;
7269 ;"Conservatorio di Musica ""Antonio Scontrino"" Trapani";Pubblico - Statale;;
7288 ;"Conservatorio di Musica ""Francesco A. Bonporti"" Trento";Pubblico - Statale;TRENTO - Conservatorio di Musica statale - Francesco A. Bonporti (sezione staccata  - RIVA DEL GARDA (TN));7260 
7289 ;"Conservatorio di Musica ""Giuseppe Tartini"" Trieste";Pubblico - Statale;;
7335 ;"Conservatorio di Musica ""Jacopo Tomadini"" Udine";Pubblico - Statale;;
7207 ;"Conservatorio di Musica ""Benedetto Marcello"" Venezia";Pubblico - Statale;;
7208 ;"Conservatorio di Musica ""E. F. dall'Abaco"" Verona";Pubblico - Statale;;
7284 ;"Conservatorio di Musica ""Fausto Torrefranca""  Vibo Valentia";Pubblico - Statale;;
7325 ;"Conservatorio di Musica ""Arrigo Pedrollo"" Vicenza";Pubblico - Statale;;
7253 ;"Conservatorio di Musica di Nocera Terinese (CZ) ""P.I. Tchaikovsky""";Pubblico - Statale;;
7255 ;"Conservatorio di Musica di Pavia ""Franco Vittadini""";Pubblico - Statale;;
7283 ;"Conservatorio di Musica di  Ribera (AG) ""Arturo Toscanini""";Pubblico - Statale;;
7319 ;"Conservatorio di Musica di Rimini ""G. Lettimi""";Pubblico - Statale;;
7226 ;"Conservatorio di Musica di Siena ""Rinaldo Franci""";Pubblico - Statale;;
7265 ;ISSM Aosta della Valle d'Aosta;Pubblico - NON Statale;;
7329 ;"Conservatorio di Musica di Caltanisetta ""Vincenzo Bellini"" ";Pubblico - Statale;;
7224 ;"Conservatorio di Musica di Catania ""Vincenzo Bellini""";Pubblico - Statale;;
7249 ;"Conservatorio di Musica di Cremona ""Claudio Monteverdi""";Pubblico - Statale;;
7323 ;"Conservatorio di Musica di Gallarate (VA) ""Giacomo Puccini""";Pubblico - Statale;;
7298 ;"Conservatorio di Musica di Livorno ""Pietro Mascagni""";Pubblico - Statale;;
7268 ;"Conservatorio di Musica di Lucca ""Luigi Boccherini""";Pubblico - Statale;;
7264 ;"Conservatorio di Musica di Modena ""Orazio Vecchi - Antonio Tonelli""";Pubblico - Statale;;
7225 ;"Conservatorio di Musica di Ravenna ""Giuseppe Verdi""";Pubblico - Statale;;
7261 ;"Conservatorio di Musica di Taranto ""Giovanni Paisiello""";Pubblico - Statale;;
7227 ;"Conservatorio di Musica di Terni ""Giulio Briccialdi""";Pubblico - Statale;;
7303 ;Istituto sup. per le industrie artistiche (ISIA) - Faenza;Pubblico - Statale;;
7197 ;Istituto sup. per le industrie artistiche (ISIA) - Firenze;Pubblico - Statale;;
7241 ;Istituto sup. per le industrie artistiche (ISIA) - Roma;Pubblico - Statale;;
7252 ;Istituto sup. per le industrie artistiche (ISIA) - Urbino;Pubblico - Statale;;
34050;Istituto sup. per le industrie artistiche (ISIA) - Pescara;Pubblico - Statale;;
7315 ;Politecnico delle Arti di Bergamo;Pubblico - Statale;;
