degree_course_code;degree_course_name_it;degree_class_code;degree_course_name_en
101072;Diploma Accademico di Secondo Livello in DIDATTICA DELL'ARTE;DASL10;
101073;Diploma ISIA di Secondo Livello in  Progettazione grafica ed editoriale;DISL01;
101074;Diploma ISIA di Secondo Livello in DESIGN;DISL02;
101076;Diploma Accademico di Secondo Livello in RECITAZIONE;DADSL02;
101077;Diploma Accademico di Secondo Livello in REGIA;DADSL03;
101078;Diploma Accademico di Secondo Livello in Danza classica;DDSL01;
101080;Diploma Accademico di Secondo Livello in Coreografia;DDSL03;
101081;Diploma di Secondo Livello in Didattica della danza;DDSL04;
101100;Diploma Accademico di Secondo Livello in MUSICA D'INSIEME;DCSL68;
101089;Diploma Accademico di Secondo Livello in MUSICA VOCALE DA CAMERA;DCSL35;
100159;Corso di Diploma Accademico di Primo Livello in PREPOLIFONIA;DCPL59;
100161;Corso di Diploma Accademico di Primo Livello in TECNICO DEL SUONO;DCPL61;
100162;Corso di Diploma Accademico di Primo Livello in MUSICA SACRA IN LINGUA TEDESCA;DCPL62;
100163;Corso di Diploma Accademico di Primo Livello in LIED E ORATORIO IN LINGUA TEDESCA;DCPL63;
100164;Corso di Diploma Accademico di Primo Livello in COMPOSIZIONE JAZZ;DCPL64;
100165;Corso di Diploma Accademico di Primo Livello in MUSICHE TRADIZIONALI;DCPL65;
100166;Corso di Diploma Accademico di Primo Livello in ORGANO E MUSICA LITURGICA;DCPL66;
100167;Corso di Diploma Accademico di Primo Livello in POPULAR MUSIC;DCPL67;
101091;Diploma Accademico di Secondo Livello in PREPOLIFONIA;DCSL59;
101092;Diploma Accademico di Secondo Livello in MUSICA APPLICATA;DCSL60;
101093;Diploma Accademico di Secondo Livello in TECNICO DEL SUONO;DCSL61;
101094;Diploma Accademico di Secondo Livello in MUSICA SACRA IN LINGUA TEDESCA;DCSL62;
101095;Diploma Accademico di Secondo Livello in LIED E ORATORIO IN LINGUA TEDESCA;DCSL63;
101096;Diploma Accademico di Secondo Livello in COMPOSIZIONE JAZZ;DCSL64;
101097;Diploma Accademico di Secondo Livello in MUSICHE TRADIZIONALI;DCSL65;
101098;Diploma Accademico di Secondo Livello in ORGANO E MUSICA LITURGICA;DCSL66;
101099;Diploma Accademico di Secondo Livello in POPULAR MUSIC;DCSL67;
100074;Diploma Accademico di Primo Livello in Danza contemporanea;DDPL02;
101079;Diploma Accademico di Secondo Livello in Danza contemporanea;DDSL02;
101103;Corso di Diploma Accademico di Primo Livello in FLAUTO JAZZ;DCPL27/A;
101104;Diploma Accademico di Secondo Livello in FLAUTO JAZZ;DCSL27/A;
101101;Corso di Diploma Accademico di Primo Livello in PIANOFORTE STORICO;DCPL14/A;
101102;Diploma Accademico di Secondo Livello in PIANOFORTE STORICO;DCSL14/A;
100168;Diploma Accademico di Primo Livello in CINEMA, FOTOGRAFIA, AUDIOVISIVO;DAPL11;
100169;Corso di Diploma Accademico di Primo Livello in Discipline storiche, critiche e analitiche della musica;DCPL15/A;
101105;Diploma Accademico di Secondo Livello in CINEMA, FOTOGRAFIA, AUDIOVISIVO;DASL11;
101106;"DIPLOMA ACCADEMICO di SECONDO LIVELLO
abilitante alla professione di Restauratore di Beni Culturali";DASLQ01;
101107;"Diploma Accademico di Secondo Livello in Teorie e tecniche in
musicoterapia";DCSL72;
101108;Corso di Diploma Accademico di Secondo Livello in Discipline storiche, critiche e analitiche della musica;DCSL15/A;
101109;Diploma ISIA di Primo Livello in DESIGN DEL PRODOTTO;DIPL02;
110000;Corso di Diploma Accademico di Primo Livello in ARMONICA A BOCCA CROMATICA;DCPL73;
