degree_class_code;degree_class_name_it;degree_class_number;programme_type_code;degree_class_name_en;;;
DCPL12;CLARINETTO JAZZ;DCPL12;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL13;CLARINETTO STORICO;DCPL13;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL14;CLAVICEMBALO E TASTIERE STORICHE;DCPL14;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL15;COMPOSIZIONE;DCPL15;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL15/A;Discipline storiche, critiche e analitiche della musica;DCPL15/A;PL;;D.M. MIUR 17 luglio 2020, n. 367;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL16;CONTRABBASSO;DCPL16;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL17;CONTRABBASSO JAZZ;DCPL17;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL18;CORNETTO;DCPL18;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL19;CORNO;DCPL19;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL20;CORNO NATURALE;DCPL20;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL21;DIDATTICA DELLA MUSICA;DCPL21;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL22;DIREZIONE D'ORCHESTRA;DCPL22;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL23;EUFONIO;DCPL23;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL24;FAGOTTO;DCPL24;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL25;FAGOTTO BAROCCO;DCPL25;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL26;FISARMONICA;DCPL26;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL27;FLAUTO;DCPL27;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL27/A;FLAUTO JAZZ;DCPL27/A;PL;;D.M. MIUR 13 marzo 2019, n. 208;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL28;FLAUTO DOLCE;DCPL28;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL29;FLAUTO TRAVERSIERE;DCPL29;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL30;LIUTO;DCPL30;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL31;MAESTRO COLLABORATORE;DCPL31;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL32;MANDOLINO;DCPL32;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL33;DIREZIONE DI CORO E COMPOSIZIONE CORALE;DCPL33;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL34;MUSICA ELETTRONICA;DCPL34;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL35;MUSICA VOCALE DA CAMERA;DCPL35;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL36;OBOE;DCPL36;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL37;OBOE BAROCCO E CLASSICO;DCPL37;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL38;ORGANO;DCPL38;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL39;PIANOFORTE;DCPL39;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL40;PIANOFORTE JAZZ;DCPL40;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL41;SAXOFONO;DCPL41;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL42;SAXOFONO JAZZ;DCPL42;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL43;STRUMENTAZIONE PER ORCHESTRA DI FIATI;DCPL43;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL44;STRUMENTI A PERCUSSIONE;DCPL44;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL45;TASTIERE ELETTRONICHE JAZZ;DCPL45;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL46;TROMBA;DCPL46;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL47;TROMBA JAZZ;DCPL47;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL48;TROMBA RINASCIMENTALE E BAROCCA;DCPL48;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL49;TROMBONE;DCPL49;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL50;TROMBONE JAZZ;DCPL50;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL51;TROMBONE RINASCIMENTALE E BAROCCO;DCPL51;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL52;VIOLA;DCPL52;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL53;VIOLA DA GAMBA;DCPL53;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL54;VIOLINO;DCPL54;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL55;VIOLINO BAROCCO;DCPL55;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL56;VIOLINO JAZZ;DCPL56;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL57;VIOLONCELLO;DCPL57;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL58;VIOLONCELLO BAROCCO;DCPL58;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL59;PREPOLIFONIA;DCPL59;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL60;MUSICA APPLICATA;DCPL60;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL61;TECNICO DEL SUONO;DCPL61;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL62;MUSICA SACRA IN LINGUA TEDESCA;DCPL62;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);DD n. 2124 dell'8/8/2018
DCPL63;LIED ED ORATORIO IN LINGUA TEDESCA;DCPL63;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL64;COMPOSIZIONE JAZZ;DCPL64;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL65;MUSICHE TRADIZIONALI;DCPL65;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL66;ORGANO E MUSICA LITURGICA;DCPL66;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL67;POPULAR MUSIC;DCPL67;PL;;D.M. MIUR 20 febbraio 2013, n. 120;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DADPL02;RECITAZIONE;DADPL02;PL;;D.M. MIUR 3 febbraio 2010, n.22;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DADPL03;REGIA;DADPL03;PL;;D.M. MIUR 3 febbraio 2010, n.22;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DDPL01;DANZA CLASSICA;DDPL01;PL;;D.M. MIUR 3 febbraio 2010, n.16;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DDPL02;DANZA CONTEMPORANEA;DDPL02;PL;;D.M. MIUR 3 febbraio 2010, n.16;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DDPL03;COREOGRAFIA;DDPL03;PL;;D.M. MIUR 25 giugno 2010, n.109;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DIPL01;PROGETTAZIONE GRAFICA ED EDITORIALE;DIPL01;PL;;D.M. MIUR 3 febbraio 2010, n.17 ;classe L-4 (Disegno industriale);
DIPL02;DESIGN;DIPL02;PL;;D.M. MIUR 3 febbraio 2010, n.17 ;classe L-4 (Disegno industriale);
DASL01;PITTURA;DASL01;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-89 (Storia dell'arte);
DASL02;SCULTURA;DASL02;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-89 (Storia dell'arte);
DASL03;DECORAZIONE;DASL03;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-89 (Storia dell'arte);
DASL04;GRAFICA;DASL04;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-89 (Storia dell'arte);
DASL05;SCENOGRAFIA;DASL05;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-65 (Scienze dello spettacolo e produzione multimediale);
DASL06;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-12 (Design);
DASL08;NUOVE TECNOLOGIE PER L’ARTE;DASL08;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-65 (Scienze dello spettacolo e produzione multimediale);
DASL09;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-89 (Storia dell'arte);
DASL10;DIDATTICA DELL'ARTE;DASL10;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-89 (Storia dell'arte);
DASL11;CINEMA, AUDIOVISIVO, FOTOGRAFIA;DASL11;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-89 (Storia dell'arte);
DCSL01;ARPA;DCSL01;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL02;ARPA RINASCIMENTALE E BAROCCA;DCSL02;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL03;BASSO ELETTRICO JAZZ;DCSL03;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL04;BASSO TUBA;DCSL04;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL05;BATTERIA E PERCUSSIONI JAZZ;DCSL05;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL06;CANTO;DCSL06;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL07;CANTO JAZZ;DCSL07;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL08;CANTO RINASCIMENTALE E BAROCCO;DCSL08;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL09;CHITARRA;DCSL09;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL10;CHITARRA JAZZ;DCSL10;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL11;CLARINETTO;DCSL11;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL12;CLARINETTO JAZZ;DCSL12;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL13;CLARINETTO STORICO;DCSL13;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL14;CLAVICEMBALO E TASTIERE STORICHE;DCSL14;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL14/A;PIANOFORTE STORICO;DCSL14/A;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL15;COMPOSIZIONE;DCSL15;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL15/A;Discipline storiche, critiche e analitiche della musica;DCSL15/A;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL16;CONTRABBASSO;DCSL16;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL17;CONTRABBASSO JAZZ;DCSL17;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL19;CORNO;DCSL19;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL20;CORNO NATURALE;DCSL20;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL21;DIDATTICA DELLA MUSICA;DCSL21;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL22;DIREZIONE D'ORCHESTRA;DCSL22;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL23;EUFONIO;DCSL23;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL24;FAGOTTO;DCSL24;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL25;FAGOTTO BAROCCO E CLASSICO;DCSL25;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL26;FISARMONICA;DCSL26;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL27;FLAUTO;DCSL27;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL27/A;FLAUTO JAZZ;DCSL27/A;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL28;FLAUTO DOLCE;DCSL28;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL29;FLAUTO TRAVERSIERE;DCSL29;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);D.D. 2646.09-10-2018
DCSL30;LIUTO;DCSL30;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL31;MAESTRO COLLABORATORE;DCSL31;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL32;MANDOLINO;DCSL32;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL33;DIREZIONE DI CORO E COMPOSIZIONE CORALE;DCSL33;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL34;MUSICA ELETTRONICA;DCSL34;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL35;MUSICA VOCALE DA CAMERA;DCSL35;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL36;OBOE;DCSL36;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL37;OBOE BAROCCO E CLASSICO;DCSL37;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL38;ORGANO;DCSL38;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL39;PIANOFORTE;DCSL39;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL40;JAZZ;DCSL40;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL41;SAXOFONO;DCSL41;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL42;PIANOFORTE JAZZ;DCSL42;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL43;STRUMENTAZIONE PER ORCHESTRA DI FIATI;DCSL43;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL44;STRUMENTI A PERCUSSIONE;DCSL44;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL45;TASTIERE ELETTRONICHE JAZZ;DCSL45;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL46;TROMBA;DCSL46;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL47;TROMBA JAZZ;DCSL47;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL48;TROMBA RINASCIMENTALE E BAROCCA;DCSL48;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL49;TROMBONE;DCSL49;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL50;TROMBONE JAZZ;DCSL50;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL51;TROMBONE RINASCIMENTALE E BAROCCO;DCSL51;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL52;VIOLA;DCSL52;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL53;VIOLA DA GAMBA;DCSL53;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL54;VIOLINO;DCSL54;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL55;VIOLINO BAROCCO;DCSL55;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL56;VIOLINO JAZZ;DCSL56;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL57;VIOLONCELLO;DCSL57;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL58;VIOLONCELLO BAROCCO;DCSL58;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL59;PREPOLIFONIA;DCSL59;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL60;MUSICA APPLICATA;DCSL60;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL61;TECNICO DEL SUONO;DCSL61;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL62;MUSICA SACRA in lingua tedesca;DCSL62;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL63;LIED E ORATORIO in lingua tedesca;DCSL63;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL64;COMPOSIZIONE JAZZ;DCSL64;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL65;MUSICHE TRADIZIONALI;DCSL65;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL66;ORGANO LITURGICO;DCSL66;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL67;POPULAR MUSIC;DCSL67;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL68;MUSICA D'INSIEME;DCSL68;SL;;D.M. MIUR 9 gennaio 2018, n. 14;Classe LM-45 (Musicologia e beni musicali);
DCSL72;Teorie e tecniche in musicoterapia;DCSL72;SL;;D.M. MUR 6 dicembre 2021, n. 2905 ;Classe LM-45 (Musicologia e beni musicali);
